iter	RMSE
258	5091490.202
259	5085975.666
260	5081851.748
261	5078279.219
262	5077140.244
263	5074886.237
264	5068477.293
265	5068043.335
266	5061225.677
267	5054541.162
268	5049560.419
269	5044792.357
270	5040771.949
271	5035280.772
272	5027073.443
273	5019379.392
274	5012819.235
275	5008873.783
276	5008668.7
277	5005167.034
278	4999660.113
279	4999133.459
280	4992873.387
281	4988099.982
282	4979221.816
283	4975890.605
284	4970334.644
285	4966508.153
286	4963516.811
287	4963513.693
288	4959685.357
289	4955323.744
290	4951384.467
291	4951036.036
292	4947819.615
293	4943304.561
294	4939554.073
295	4938224.983
296	4938212.289
297	4933468.786
298	4933291.417
299	4931859.112
300	4927472.485
301	4923414.867
302	4917487.799
303	4913902.866
304	4912552.985
305	4909771.117
306	4905719.555
307	4901725.782
308	4898261.122
309	4895343.676
310	4891039.958
311	4884002.731
312	4879436.348
313	4877130.446
314	4872835.53
315	4868989.615
316	4862527.854
317	4856693.986
318	4852730.405
319	4848417.866
320	4848416.163
321	4846199.192
322	4839470.214
323	4838831.69
324	4836550.877
325	4831265.578
326	4829297.62
327	4822035.031
328	4818427.434
329	4814194.656
330	4812164.956
331	4811326.398
332	4809495.932
333	4807123.597
334	4800715.341
335	4797799.726
336	4794681.034
337	4789935.414
338	4786396.708
339	4781497.165
340	4777777.127
341	4775331.809
342	4772369.964
343	4767003.647
344	4760715.218
345	4758466.144
346	4756657.624
347	4752969.29
348	4752791.323
349	4749571.946
350	4746010.475
351	4738581.813
352	4738443.35
353	4734255.778
354	4732366.152
355	4727539.748
356	4723625.619
357	4721200.274
358	4716165.899
359	4714025.02
360	4711393.535
361	4706269.984
362	4702014.848
363	4701866.843
364	4699104.779
365	4696570.02
366	4693010.882
367	4692981.756
368	4689006.259
369	4683084.293
370	4679896.187
371	4673569.236
372	4666372.348
373	4665549.958
374	4664009.872
375	4660758.881
376	4656739.377
377	4653886.301
378	4650860.129
379	4647427.052
380	4647320.155
381	4644608.3
382	4641405.861
383	4640968.766
384	4634261.554
385	4634182.845
386	4628929.856
387	4625367.871
388	4618395.906
389	4616002.983
390	4613093.934
391	4608710.363
392	4608174.433
393	4605437.325
394	4599137.009
395	4597153.35
396	4589858.729
397	4586433.306
398	4583618.02
399	4578181.325
400	4576213.01
401	4569420.926
402	4567552.481
403	4563785.041
404	4560345.777
405	4556887.169
406	4555034.815
407	4550419.557
408	4548180.577
409	4547893.632
410	4547893.115
411	4544984.398
412	4540471.709
413	4539664.151
414	4538399.008
415	4535720.122
416	4534548.215
417	4532110.88
418	4527991.28
419	4521756.435
420	4519721.65
421	4519640.403
422	4517160.559
423	4514186.875
424	4510478.589
425	4505892.405
426	4505365.072
427	4502183.349
428	4500728.289
429	4500293.933
430	4493223.674
431	4489120.865
432	4487845.821
433	4483415.265
434	4478005.114
435	4475314.618
436	4469489.119
437	4465445.125
438	4462257.314
439	4461967.821
440	4458950.726
441	4455466.687
442	4450725.11
443	4446369.188
444	4446336.245
445	4443672.877
446	4439828.797
447	4437246.821
448	4435809.879
449	4432654.751
450	4429740.321
451	4426281.988
452	4422396.328
453	4418343.563
454	4414742.407
455	4412009.276
456	4411009.124
457	4406268.087
458	4403470.346
459	4402275.348
460	4399728.763
461	4395534.519
462	4391217.911
463	4388713.369
464	4385644.174
465	4385464.483
466	4383740.281
467	4383604.261
468	4380480.207
469	4380443.131
470	4377073.673
471	4372335.08
472	4368268.467
473	4361696.147
474	4358449.845
475	4354410.469
476	4351528.04
477	4348074.218
478	4346372.99
479	4343862.318
480	4339099.736
481	4336053.874
482	4329214.693
483	4327800.542
484	4323997.239
485	4322039.91
486	4321985.912
487	4319639.2
488	4315460.464
489	4312904.797
490	4310944.986
491	4307321.034
492	4303338.821
493	4300087.36
494	4297627.101
495	4291983.954
496	4291928.97
497	4289167.696
498	4283623.869
499	4277381.244
500	4275650.228
501	4273683.619
502	4267429.575
503	4264797.817
504	4259942.901
505	4255315.472
506	4250600.659
507	4248027.312
508	4244426.542
509	4241985.339
510	4241004.611
511	4236326.558
512	4232153.959
513	4228962.047
514	4226056.485
515	4222265.592
516	4219663.609
517	4218688.915
518	4218059.312
519	4215224.474
520	4213131.955
521	4209954.493
522	4207917.105
523	4207027.245
524	4204128.7
525	4199352.253
526	4197015.792
527	4193684.902
528	4189807.42
529	4184167.822
530	4181788.454
531	4176598.012
532	4173971.033
533	4171817.43
534	4169299.182
535	4167035.788
536	4163487.591
537	4160743.528
538	4160743.348
539	4159183.089
540	4155570.865
541	4153159.413
542	4150528.526
543	4146067.093
544	4143940.603
545	4142516.016
546	4138704.48
547	4136875.498
548	4132767.324
549	4125930.59
550	4124071.953
551	4121514.139
552	4116922.229
553	4115866.587
554	4115512.454
555	4115396.785
556	4113103.041
557	4109558.607
558	4108027.202
559	4103910.792
560	4100407.908
561	4093882.57
562	4090852.527
563	4088644.045
564	4086596.888
565	4083465.365
566	4080850.985
567	4079034.986
568	4076886.858
569	4073639.039
570	4068851.593
571	4063180.287
572	4063180.165
573	4060792.25
574	4055826.546
575	4055712.511
576	4051781.669
577	4048305.034
578	4046210.033
579	4042712.58
580	4040540.112
581	4038526.157
582	4034681.587
583	4032697.736
584	4029146.721
585	4026447.21
586	4025157.025
587	4021360.318
588	4019300.293
589	4017261.308
590	4015039.099
591	4013672.299
592	4007728.767
593	4004070.436
594	4002410.92
595	3999185.333
596	3997503.337
597	3995126.735
598	3991276.86
599	3986714.463
600	3985657.269
601	3982221.126
602	3980008.929
603	3977614.79
604	3973355.682
605	3971302.51
606	3969537.17
607	3967038.425
608	3965832.734
609	3964166.424
610	3963698.359
611	3960346.783
612	3957151.566
613	3954861.805
614	3952745.6
615	3950286.041
616	3946828.434
617	3945676.233
618	3943534.35
619	3940638.458
620	3937206.733
621	3935480.194
622	3932338.581
623	3928852.769
624	3923234.582
625	3921155.311
626	3917732.347
627	3912007.974
628	3910076.846
629	3908433.43
630	3905964.373
631	3904018.344
632	3903459.59
633	3899667.149
634	3897461.982
635	3895008.049
636	3891580.278
637	3889133.165
638	3885714.584
639	3885693.217
640	3880864.939
641	3878909.929
642	3874973.009
643	3873314.967
644	3873314.841
645	3870570.763
646	3868596.614
647	3864347.218
648	3861771.105
649	3858376.272
650	3857769.033
651	3855060.581
652	3852272.654
653	3849256.836
654	3847303.877
655	3841064.301
656	3839343.295
657	3835572.249
658	3834142.835
659	3830671.936
660	3828619.443
661	3828405.132
662	3828299.971
663	3826077.917
664	3825809.754
665	3821567.076
666	3819651.808
667	3816969.538
668	3816938.234
669	3815190.038
670	3811608.021
671	3809549.437
672	3807837.201
673	3807338.971
674	3804609.098
675	3803791.565
676	3800728.829
677	3798733.857
678	3797167.826
679	3796983.13
680	3796983.066
681	3794456.491
682	3792414.015
683	3792403.524
684	3790176.488
685	3787153.368
686	3784124.252
687	3783971.764
688	3779338.35
689	3777886.096
690	3776592.087
691	3774762.404
692	3769191.891
693	3767316.037
694	3765925.901
695	3762375.52
696	3760702.193
697	3758203.193
698	3754646.407
699	3753513.276
700	3748949.416
701	3745735.285
702	3745181.49
703	3743530.648
704	3743517.863
705	3739404.022
706	3734738.838
707	3731283.097
708	3731267.217
709	3728878.486
710	3727429.396
711	3727425.616
712	3725214.17
713	3723408.621
714	3721272.584
715	3719226.188
716	3718945.377
717	3714879.245
718	3713028.141
719	3711644.656
720	3708147.701
721	3706394.529
722	3704501.771
723	3701602.225
724	3699419.781
725	3696342.009
726	3691934.046
727	3689245.425
728	3686727.91
729	3682992.006
730	3680319.375
731	3678905.93
732	3676752.528
733	3674174.8
734	3674174.765
735	3671382.02
736	3667861.039
737	3666377.03
738	3664423.426
739	3663099.35
740	3661894.907
741	3660088.828
742	3658578.867
743	3658406.852
744	3656275.91
745	3653947.042
746	3652750.879
747	3651925.892
748	3648854.339
749	3646877.86
750	3645160.022
751	3641950.029
752	3640628.025
753	3637301.185
754	3635498.831
755	3633169.982
756	3631185.112
757	3629511.682
758	3628710.966
759	3626688.991
760	3623672.044
761	3622956.385
762	3621042.554
763	3619567.98
764	3617336.801
765	3614783.527
766	3611037.906
767	3608528.857
768	3607577.583
769	3605522.507
770	3602977.463
771	3601123.411
772	3596352.893
773	3594855.701
774	3591056.772
775	3589442.872
776	3587849.662
777	3584345.537
778	3581724.852
779	3581038.825
780	3581001.866
781	3578277.219
782	3576685.612
783	3576459.793
784	3572698.713
785	3572461.109
786	3572461.068
787	3570964.666
788	3568363.096
789	3567327.318
790	3564154.358
791	3560778.065
792	3555702.79
793	3553438.093
794	3548421.549
795	3545324.906
796	3541278.787
797	3541239.756
798	3538980.992
799	3536501.058
800	3531327.323
801	3531327.281
802	3528741.708
803	3526135.847
804	3525963.631
805	3524078.136
806	3522558.921
807	3521167.437
808	3518842.913
809	3517333.611
810	3515791.048
811	3513808.282
812	3511791.987
813	3509135.546
814	3505891.801
815	3504544.912
816	3503066.54
817	3501764.505
818	3501419.004
819	3500326.428
820	3497489.996
821	3495023.64
822	3492227.623
823	3487833.812
824	3483971.199
825	3482475.805
826	3482467.45
827	3481307.506
828	3479467.59
829	3478007.897
830	3476624.23
831	3476219.395
832	3474745.413
833	3474738.804
834	3473806.108
835	3472419.782
836	3471394.541
837	3468942.102
838	3466411.64
839	3464770.565
840	3462744.266
841	3460051.79
842	3458633.428
843	3457003.674
844	3455812.238
845	3455805.33
846	3454467.56
847	3453269.937
848	3451396.835
849	3449208.351
850	3445029.808
851	3442870.03
852	3439362.048
853	3438795.954
854	3437491.492
855	3433878.581
856	3431404.994
857	3429708.346
858	3426784.82
859	3425319.632
860	3425319.616
861	3423503.782
862	3422847.673
863	3420024.022
864	3419137.703
865	3416037.598
866	3413918.669
867	3413863.599
868	3411625.987
869	3409229.838
870	3406426.4
871	3403968.87
872	3403948.31
873	3402107.899
874	3399078.319
875	3398469.93
876	3396960.364
877	3394108.701
878	3392299.233
879	3389836.201
880	3386776.821
881	3386640.486
882	3383743.994
883	3380549.139
884	3380549.123
885	3379100.741
886	3376306.418
887	3375337.44
888	3372927.271
889	3370072.57
890	3369087.917
891	3366552.748
892	3364677.477
893	3364677.446
894	3362967.569
895	3359830.262
896	3357213.606
897	3355049.367
898	3353961.907
899	3353579.768
900	3351056.327
901	3349585.422
902	3347570.534
903	3345142.028
904	3342423.52
905	3340552.695
906	3338347.727
907	3336759.625
908	3334344.136
909	3332502.443
910	3332388.982
911	3331356.659
912	3329225.208
913	3326636.351
914	3324780.927
915	3322032.416
916	3320404.313
917	3320371.741
918	3317739.399
919	3315234.334
920	3313129.76
921	3312072.386
922	3310353.82
923	3309571.047
924	3308486.618
925	3306361.383
926	3304593.407
927	3302455.149
928	3301131.097
929	3298339.37
930	3297187.242
931	3296155.046
932	3294040.859
933	3292339.598
934	3289080.553
935	3288708.627
936	3288127.526
937	3287203.307
938	3285125.227
939	3282842.562
940	3281565.145
941	3280882.675
942	3279199.873
943	3277425.388
944	3275879.128
945	3275879.104
946	3272988.781
947	3272867.473
948	3270450.459
949	3269191.075
950	3267740.973
951	3265571.455
952	3262230.93
953	3260252.821
954	3258542.474
955	3256145.912
956	3254876.933
957	3251819.554
958	3250231.683
959	3248416.848
960	3246155.495
961	3244194.849
962	3242117.614
963	3240881.032
964	3239786.892
965	3238716.74
966	3237068.808
967	3237068.779
968	3236732.81
969	3236439.965
970	3233664.037
971	3231454.893
972	3230143.21
973	3228961.389
974	3226900.237
975	3224895.378
976	3222713.411
977	3221841.854
978	3221833.448
979	3220574.815
980	3218986.501
981	3217988.246
982	3216420.049
983	3214257.772
984	3212753.277
985	3211469.485
986	3210314.546
987	3207295.755
988	3205149.925
989	3202675.396
990	3200930.77
991	3200869.169
992	3199087.605
993	3195996.453
994	3195414.318
995	3191153.396
996	3189622.943
997	3187982.452
998	3186430.391
999	3184548.387
1000	3182738.607
1001	3181614.471
1002	3179072.197
1003	3177377.154
1004	3175663.837
1005	3174428.123
1006	3172004.868
1007	3170720.334
1008	3169970.648
1009	3168905.488
1010	3168789.178
1011	3166546.408
1012	3164260.451
1013	3159834.418
1014	3157111.997
1015	3154767.656
1016	3152882.494
1017	3151110.638
1018	3149867.149
1019	3149543.683
1020	3148635.255
1021	3147048.865
1022	3144836.822
1023	3142011.248
1024	3139535.797
1025	3137995.225
1026	3136090.942
1027	3133869.657
1028	3130831.804
1029	3129552.466
1030	3129454.244
1031	3124856.402
1032	3122485.894
1033	3120596.014
1034	3120595.999
1035	3119179.166
1036	3117979.495
1037	3116788.552
1038	3113309.806
1039	3111835.144
1040	3110052.135
1041	3108941.558
1042	3108936.866
1043	3106910.308
1044	3103794.387
1045	3102676.55
1046	3102209.099
1047	3100491.075
1048	3100047.433
1049	3097587.996
1050	3095032.188
1051	3093692.412
1052	3091614.643
1053	3089747.769
1054	3089110.003
1055	3086210.061
1056	3083340.618
1057	3082174.524
1058	3082140.227
1059	3081140.383
1060	3079087.783
1061	3078771.01
1062	3077333.639
1063	3077021.965
1064	3075632.375
1065	3074660.52
1066	3072901.023
1067	3072901.015
1068	3070950.672
1069	3070322.306
1070	3068125.434
1071	3065648.256
1072	3064264.01
1073	3063327.138
1074	3062239.925
1075	3060093.494
1076	3058843.435
1077	3058708.294
1078	3056874.599
1079	3054740.883
1080	3053804.378
1081	3052301.469
1082	3051397.129
1083	3049079.359
1084	3048244.57
1085	3048243.562
1086	3046427.804
1087	3044046.287
1088	3042135.054
1089	3039779.12
1090	3038175.872
1091	3038135.345
1092	3036104.786
1093	3034825.193
1094	3032692.996
