player_name,last_season,player_club_id,yellow_cards,red_cards,goals,assists,minutes_played
Abner,2022,150,2,0,0,0,603
Abner,2023,150,3,0,0,0,1163
Abou Lo,2023,347,0,1,0,0,74
Abou Ouattara,2019,1082,0,0,0,0,7
Abou Ouattara,2019,2420,2,0,1,0,271
Abou Ouattara,2020,2420,0,0,0,0,2
Aboubakar Kamara,2020,931,1,1,0,0,309
Aboubakar Kamara,2020,2969,1,1,1,0,560
Abraham Marcus,2022,720,0,0,0,0,1
Achraf Dari,2022,3911,1,0,1,1,1315
Achraf Dari,2023,3911,0,0,0,0,119
Achraf Hakimi,2019,16,5,0,5,10,2717
Achraf Hakimi,2020,46,6,0,7,10,2670
Achraf Hakimi,2021,583,3,1,4,6,2484
Achraf Hakimi,2022,583,7,1,5,4,2052
Achraf Hakimi,2023,583,2,0,3,4,1313
Achraf Lazaar,2021,7378,0,0,0,0,241
Adam Armstrong,2021,180,1,0,2,3,1415
Adam Armstrong,2022,180,2,0,2,1,1334
Adam Bodzek,2019,38,10,0,0,0,2018
Adam Buksa,2022,826,0,0,0,0,94
Adam Dzwigala,2019,3336,4,0,0,1,1313
Adam Forshaw,2021,399,5,0,0,1,1530
Adam Forshaw,2022,399,0,0,0,0,476
Adam Hlozek,2022,15,2,0,5,4,1287
Adam Hlozek,2023,15,1,0,1,0,245
Adam Idah,2019,1123,0,0,0,0,220
Adam Idah,2021,1123,0,0,1,1,620
Adam Lallana,2019,31,1,0,1,1,374
Adam Lallana,2020,1237,0,0,1,1,1590
Adam Lallana,2021,1237,4,0,0,1,1561
Adam Lallana,2022,1237,0,0,2,1,728
Adam Lallana,2023,1237,1,0,0,1,591
Adam Marusic,2019,398,3,0,2,0,849
Adam Marusic,2020,398,3,0,2,5,3061
Adam Marusic,2021,398,6,0,1,0,2722
Adam Marusic,2022,398,8,1,0,2,2766
Adam Marusic,2023,398,3,0,0,0,2160
Adam Masina,2019,1010,3,0,1,0,1818
Adam Masina,2021,1010,0,0,0,1,1076
Adam Masina,2022,410,2,0,2,0,787
Adam Masina,2023,410,2,0,0,0,61
Adam Masina,2023,416,0,0,0,0,373
Adam Obert,2021,1390,0,0,0,0,273
Adam Obert,2023,1390,1,0,0,0,575
Adam Ounas,2019,417,2,1,2,4,1132
Adam Ounas,2020,1390,0,0,0,0,306
Adam Ounas,2020,4083,1,0,4,4,1209
Adam Ounas,2021,6195,1,0,0,0,312
Adam Ounas,2022,1082,2,0,1,2,1066
Adam Ounas,2022,6195,0,0,0,0,13
Adam Ounas,2023,1082,0,0,1,0,391
Adam Smith,2019,989,7,0,0,1,2061
Adam Smith,2022,989,11,0,0,1,2948
Adam Smith,2023,989,1,0,0,2,1187
